src_ip,src_port,dst_ip,dst_port,proto,service,duration,src_bytes,dst_bytes,conn_state,missed_bytes,src_pkts,src_ip_bytes,dst_pkts,dst_ip_bytes,dns_query,dns_qclass,dns_qtype,dns_rcode,dns_AA,dns_RD,dns_RA,dns_rejected,ssl_version,ssl_cipher,ssl_resumed,ssl_established,ssl_subject,ssl_issuer,http_trans_depth,http_method,http_uri,http_version,http_request_body_len,http_response_body_len,http_status_code,http_user_agent,http_orig_mime_types,http_resp_mime_types,weird_name,weird_addl,weird_notice,label,type,anomaly
192.168.1.37,4444,192.168.1.193,49178,tcp,-,290.371539,101568,2592,OTH,0,108,108064,31,3832,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,1,backdoor,1
192.168.1.193,49185,192.168.1.37,8080,tcp,-,182.87506,8359,415330,S1,83380,45,10171,252,342042,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,1,backdoor,1
192.168.1.33,35953,192.168.1.193,445,tcp,smb;gssapi,10.147272,67847,473,RSTR,15928,48,54423,22,1613,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,1,backdoor,1
192.168.1.193,49193,192.168.1.33,4444,tcp,-,150.852857,9143,558722,S1,84516,119,13915,375,490882,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,1,backdoor,1
192.168.1.193,49196,192.168.1.33,8080,tcp,-,62.343585,8039,415074,S1,80247,57,10331,252,344919,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,1,backdoor,1
192.168.1.37,46453,192.168.1.193,445,tcp,smb;gssapi,10.110268,67847,473,RSTR,1479,54,69184,24,1717,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,1,backdoor,1
192.168.1.193,49175,192.168.1.37,4444,tcp,-,288.567715,9735,559202,SF,94900,79,12907,355,478514,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,1,backdoor,1
192.168.1.193,49177,192.168.1.37,8080,tcp,-,332.907737,8791,415810,SF,80079,59,11163,260,346143,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,1,backdoor,1
192.168.1.33,40977,192.168.1.193,445,tcp,smb;gssapi,10.117197,67847,473,RSTR,0,56,70767,25,1769,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,1,backdoor,1
192.168.1.193,49178,192.168.1.33,4444,tcp,-,326.442043,9735,559202,SF,206211,66,12387,281,364243,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,1,backdoor,1
192.168.1.193,49180,192.168.1.33,8080,tcp,-,309.379109,8791,415810,SF,110860,63,11323,239,314522,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,1,backdoor,1
192.168.1.37,34025,192.168.1.193,445,tcp,smb;gssapi,10.1326,67847,473,RSTR,0,58,70871,25,1769,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,1,backdoor,1
192.168.1.193,49231,192.168.1.37,4444,tcp,-,93516.92917,266231,1663602,S1,20564,1868,340803,4193,1810930,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,1,backdoor,1
192.168.1.193,49233,192.168.1.37,8080,tcp,-,70.808657,8151,415298,SF,32352,66,10803,288,394478,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,1,backdoor,1
192.168.1.33,34833,192.168.1.193,445,tcp,smb;gssapi,10.115334,67847,473,RSTR,0,56,70767,25,1769,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,1,backdoor,1
192.168.1.193,49240,192.168.1.33,4444,tcp,-,608.919421,12743,761410,SF,13020,164,19315,582,771682,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,1,backdoor,1
192.168.1.193,49242,192.168.1.33,8080,tcp,-,93372.05713,255511,613090,S1,73651,1600,319363,3348,673531,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,1,backdoor,1
192.168.1.193,49244,192.168.1.33,8080,tcp,-,4.294695,7991,415170,SF,122960,52,10079,223,301138,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,1,backdoor,1
192.168.1.193,49245,192.168.1.33,8080,tcp,-,3.965579,7991,415170,SF,118164,55,10199,225,306014,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,1,backdoor,1
